data	rotated	90deg	sym	Pm	
1	2	2.499	18.81	1.13	1
1	2	2.699	19.82	1.2	1
1	2	2.9	20.36	1.23	1
1	2	3.099	20.79	1.26	1
1	2	3.299	21.71	1.31	1
1	2	3.499	21.72	1.31	1
1	2	3.699	22.05	1.33	1
1	2	3.9	22.77	1.38	1
1	2	4.099	24.2	1.46	1
1	2	4.299	26.19	1.58	1
1	2	4.5	29.88	1.81	1
1	2	4.7	39.85	3.9	1
1	2	4.739	47	4.7	1
1	2	4.865	85	9.92	1
1	3	-0.3	12.99	0.78	0.5
1	3	0.3	12.04	0.72	0.5
1	5	-0.3	5.59	0.36	0.5
1	5	0.3	5.15	0.35	0.5
2	1	-4.699	5.95	0.9	0.5
2	1	-4.5	5.42	0.64	0.5
2	1	-4.299	5.56	0.89	0.5
2	1	-4.099	4.75	1.08	0.5
2	1	-3.899	4.31	0.94	0.5
2	1	-3.7	5.16	0.9	0.5
2	1	-3.499	4.91	0.76	0.5
2	1	-3.299	6.1	0.72	0.5
2	1	-3.099	5.29	0.64	0.5
2	1	-2.899	6.28	0.6	0.5
2	1	-2.699	5.5	0.35	0.5
2	1	-2.499	5.41	0.34	0.5
2	1	-2.299	5.54	0.35	0.5
2	1	-2.099	5.64	0.35	0.5
2	1	-1.899	5.5	0.35	0.5
2	1	-1.699	5.8	0.36	0.5
2	1	-1.499	6.01	0.37	0.5
2	1	-1.299	6.26	0.39	0.5
2	1	-1.099	5.83	0.36	0.5
2	1	-0.899	5.87	0.36	0.5
2	1	-0.699	6.19	0.38	0.5
2	1	-0.499	6.41	0.39	0.5
2	1	-0.299	6.47	0.39	0.5
2	1	0.299	6.21	0.37	0.5
2	2	0.3	11.99	0.72	0.5
2	3	-0.3	4.43	0.28	0.5
2	3	0.3	3.51	0.5	0.5
2	4	0.2	11.75	0.71	1 2 0
2	4	0.299	11.27	0.69	1 2 0
2	4	0.499	13.14	0.81	1 2 0
2	4	0.699	19.28	1.9	1 2 0
2	4	0.799	28.35	2.9	1 2 0
2	4	0.899	57.09	5.8	1 2 0
2	4	1.099	67.86	6.8	1 2 0
2	4	1.2	31.69	3.2	1 2 0
2	4	1.299	22.73	2.3	1 2 0
2	4	1.499	15.89	0.97	1 2 0
2	4	1.7	13.19	0.8	1 2 0
2	4	1.899	12.08	0.73	1 2 0
2	4	2.099	10.73	0.7	1 2 0
2	4	2.299	10.62	0.7	1 2 0
2	4	2.5	9.99	0.68	1 2 0
2	4	2.7	9.88	0.69	1 2 0
2	4	2.9	10.19	0.72	1 2 0
2	4	3.1	11.23	0.76	1 2 0
2	5	-0.3	2.14	0.38	0.5
2	5	0.3	1.96	0.14	0.5
3	0	-0.3	7.91	0.48	0.5
3	0	0.3	6.49	0.4	0.5
3	1	-0.3	10.24	0.62	0.5
3	1	0.3	9.72	0.59	0.5
3	3	-0.3	7.13	0.44	0.5
3	3	0.3	5.48	0.34	0.5
3	4	0.3	2.69	0.23	0.5
3	5	-0.3	2.98	0.36	0.5
3	5	0.3	2.46	0.89	0.5
4	1	-0.301	5.24	0.32	0.5
4	1	0.3	4.85	0.32	0.5
4	2	0.3	4.86	0.32	0.5
4	3	-0.3	3.87	0.36	0.5
4	3	0.3	3.62	0.33	0.5
4	5	-0.3	1.61	0.89	0.5
4	5	0.3	1.55	1.06	0.5
5	0	-0.3	1.88	1.2	0.5
5	0	0.301	3.88	0.3	0.5
5	1	-0.3	1.84	0.32	0.5
5	1	0.301	2.83	0.35	0.5
5	3	-0.3	0.1	2.36	0.5
5	3	0.3	1.58	0.75	0.5
6	1	-0.3	1.24	0.49	0.5
6	1	0.3	1.64	0.97	0.5
